brand,nome,preco,revenda,ano
Royal Enfield,Hunter 350,252816,149934.18,2021
Bajaj,Dominar 400,131100,66960.3,2020
KTM,125 Duke,201016,141522.64,2020
Kawasaki,Ninja 300,132482,56057.22,2021
Yamaha,FZ V3,231796,132538.36,2019
Hero,Splendor Plus,60839,47466.45,2019
Royal Enfield,Meteor 350,349740,175038.79,2022
Kawasaki,Vulcan S,193781,96676.39,2019
KTM,390 Adventure,145538,103908.96,2022
Hero,HF Deluxe,227055,146320.5,2024
TVS,Jupiter,145061,83042.09,2024
Kawasaki,Vulcan S,283629,180614.03,2019
Kawasaki,Z650,323882,235841.3,2015
Yamaha,Fascino 125,313211,139468.03,2017
Hero,Xtreme 160R,165864,118831.51,2024
Kawasaki,Ninja 300,106943,72475.12,2019
Hero,Xtreme 160R,373959,249938.95,2020
Royal Enfield,Hunter 350,288878,123383.54,2020
Kawasaki,Versys 650,287349,137540.87,2018
Hero,Glamour,159188,74810.24,2017
Yamaha,MT-15,233599,116719.31,2021
Bajaj,Dominar 400,124572,80786.82,2015
Hero,HF Deluxe,305977,172445.74,2017
Kawasaki,Versys 650,343743,207103.09,2019
Kawasaki,Versys 650,348864,156687.31,2021
Kawasaki,Ninja 300,276161,145292.42,2015
Honda,Activa,194846,111451.3,2016
Yamaha,Ray ZR,296387,150350.99,2016
Royal Enfield,Hunter 350,263389,181145.09,2023
Bajaj,Dominar 400,390158,274058.16,2018
Yamaha,Fascino 125,124319,57652.94,2021
Bajaj,Avenger 220,301300,196062.13,2019
Hero,Passion Pro,93080,67381.9,2019
Yamaha,FZ V3,269787,173078.76,2022
Hero,HF Deluxe,143467,101240.49,2023
TVS,NTorq 125,96480,56022.88,2017
Yamaha,R15 V4,367986,273519.68,2020
Kawasaki,Vulcan S,177033,131406.64,2019
TVS,Jupiter,218145,161974.1,2016
TVS,NTorq 125,133793,73437.25,2015
Yamaha,Ray ZR,292817,149668.49,2021
Hero,Glamour,74456,56908.93,2017
Honda,Unicorn,355891,158365.89,2020
TVS,NTorq 125,257193,179381.6,2019
KTM,390 Adventure,71253,42173.59,2020
TVS,Ronin,133844,66018.44,2024
Bajaj,Platina 110,95632,42720.82,2024
Bajaj,Pulsar 150,191773,140421.62,2023
TVS,Ronin,147474,105865.07,2023
Yamaha,R15 V4,300933,225273.11,2021
TVS,NTorq 125,99895,47375.0,2016
KTM,Duke 200,217205,141079.28,2019
Honda,Shine,233723,129260.78,2016
Royal Enfield,Meteor 350,83677,53718.48,2018
Royal Enfield,Classic 350,261848,106199.5,2016
Kawasaki,Versys 650,57231,43829.89,2015
Royal Enfield,Meteor 350,185536,90338.15,2017
Yamaha,R15 V4,91984,37749.25,2019
Honda,Dio,82114,33757.75,2023
TVS,Sport,214316,161265.41,2023
Kawasaki,Ninja 400,194396,111751.02,2021
TVS,Apache RTR 160,398017,208424.27,2015
Honda,Shine,252763,191177.64,2019
TVS,Sport,105989,73023.48,2024
Hero,Glamour,227568,148291.88,2022
KTM,RC 390,197036,104145.28,2016
Kawasaki,Ninja 300,363149,206857.8,2016
Honda,Unicorn,335346,248193.98,2023
Bajaj,Pulsar 150,296836,130167.29,2021
Bajaj,Avenger 220,323235,165176.17,2024
Yamaha,FZ V3,251858,185017.03,2024
Yamaha,R15 V4,103906,47612.58,2024
TVS,Ronin,122641,96164.51,2024
Bajaj,Dominar 400,386215,245041.18,2017
TVS,Sport,385671,229843.47,2019
TVS,Ronin,280350,117145.83,2022
Bajaj,Avenger 220,100854,74877.79,2016
TVS,Sport,99577,57421.87,2015
Bajaj,Pulsar 150,309441,199917.17,2020
Royal Enfield,Interceptor 650,273997,215428.56,2022
Honda,Unicorn,259385,197760.05,2022
Hero,Splendor Plus,79908,54363.32,2023
TVS,Apache RTR 160,385822,209566.7,2019
Hero,HF Deluxe,161105,91744.22,2023
Bajaj,Avenger 220,214030,91233.3,2016
KTM,390 Adventure,325963,157743.79,2022
Honda,Dio,136156,65576.03,2016
Hero,Glamour,198786,145261.54,2019
Hero,Xtreme 160R,250462,115865.15,2015
TVS,Ronin,236303,103242.42,2021
Honda,Shine,336638,238462.12,2017
TVS,NTorq 125,292002,215862.87,2016
Yamaha,Fascino 125,140993,96056.57,2022
Bajaj,Avenger 220,91498,46132.61,2018
Yamaha,FZ V3,65569,35079.4,2015
KTM,390 Adventure,61526,27992.34,2016
Honda,Shine,146308,80884.08,2019
Yamaha,Fascino 125,326280,203791.95,2017
Yamaha,FZ V3,116504,53430.47,2017
TVS,Apache RTR 160,224917,103546.72,2016
Bajaj,Avenger 220,66953,40528.9,2015
Kawasaki,Ninja 300,239548,153335.69,2015
TVS,Ronin,101199,66574.27,2018
TVS,Apache RTR 160,356435,250941.57,2024
Yamaha,R15 V4,363271,182952.79,2024
Kawasaki,Ninja 300,375575,291922.32,2015
Kawasaki,Versys 650,130472,67273.42,2017
Yamaha,Ray ZR,396806,174047.2,2018
TVS,Sport,75299,59021.8,2018
Honda,Unicorn,155436,109227.11,2024
TVS,Apache RTR 160,142576,77826.08,2016
Honda,CBR 650R,207485,116449.3,2015
Bajaj,Pulsar 150,395607,289590.78,2022
Bajaj,CT 100,320670,154994.96,2023
Honda,Activa,364901,205957.55,2021
Kawasaki,Z650,320388,139114.13,2022
Bajaj,Dominar 400,307685,135348.28,2021
Kawasaki,Ninja 400,125721,87080.18,2021
KTM,250 Duke,120785,58524.42,2016
TVS,Apache RTR 160,322805,179197.1,2020
Honda,Activa,278177,183999.58,2022
Yamaha,MT-15,376238,292050.9,2017
TVS,Jupiter,203805,141970.73,2015
TVS,NTorq 125,376543,212871.29,2020
Bajaj,Dominar 400,393995,219346.47,2018
Royal Enfield,Hunter 350,252320,120037.48,2023
Bajaj,CT 100,121087,55965.1,2022
KTM,250 Duke,275695,201257.8,2015
KTM,RC 390,340454,262394.28,2016
Yamaha,Fascino 125,141000,81853.75,2015
Yamaha,Fascino 125,320003,205911.58,2019
TVS,Sport,379513,239699.49,2019
Bajaj,CT 100,135697,57333.52,2020
Yamaha,FZ V3,222167,144576.81,2019
Kawasaki,Ninja 300,91212,61811.9,2020
Kawasaki,Ninja 400,203537,87374.49,2024
Hero,Passion Pro,221366,143221.15,2021
Kawasaki,Ninja 300,134073,59613.59,2024
